Title,Designation,Score,Pos_Val,Neg_Val,Neu_Val,Number
The Adventures of Two Alabama Boys,pos,40.97616345,0.409761635,0.227582293,0.362656073,1
"Autobiography and Biography of Rev. Joseph Caldwell, D.D., L.L.D., First President of the University of North Carolina",pos,51.43403442,0.514340344,0.260038241,0.225621415,2
Autobiography and Reminiscences of John W. Carroll,pos,45.8123108,0.458123108,0.262361251,0.279515641,3
"Autobiography of Asa Biggs, Including a Journal of a Trip from North Carolina to New York in 1832",pos,46.96969697,0.46969697,0.216783217,0.313519814,4
"Autobiography of Bishop Isaac Lane, LL.D. with a Short History of the C.M.E. Church in America and of Methodism",pos,43.08797127,0.430879713,0.122082585,0.447037702,5
Autobiography of Col. Richard Malcolm Johnston,pos,44.74097331,0.447409733,0.246467818,0.306122449,6
"Autobiography of John G. Fee: Berea, Kentucky",pos,38.12282735,0.381228273,0.22769409,0.391077636,7
The Autobiography of Joseph LeConte,pos,48.89670611,0.488967061,0.18835945,0.322673489,8
Autobiography of Lemuel Sawyer: Formerly Member of Congress from North Carolina,pos,43.87254902,0.43872549,0.285130719,0.276143791,9
Belle Boyd in Camp and Prison. In Two Volumes. Vol. I.,pos,42.26006192,0.422600619,0.364551084,0.212848297,10
Belle Boyd in Camp and Prison. In Two Volumes. Vol. II.,pos,37.85394933,0.378539493,0.301043219,0.320417288,11
"A Belle of the Fifties: Memoirs of Mrs. Clay, of Alabama, Covering Social and Political Life in Washington and the South, 1853-66",pos,46.921797,0.46921797,0.241680532,0.289101498,12
"Bill Arp from the Uncivil War to Date, 1861-1903",pos,45.56962025,0.455696203,0.262072199,0.282231599,13
Biography of James Patton,pos,42.03821656,0.420382166,0.243630573,0.335987261,14
"Biography of Rev. David Smith of the A. M. E. Church; Being a Complete History, Embracing over Sixty Years' Labor in the Advancement of the Redeemer's Kingdom on Earth. Including ""The History of the Origin and Development of Wilberforce University.""",pos,39.83679525,0.398367953,0.12388724,0.477744807,15
Bits of Gossip,pos,38.91891892,0.389189189,0.269369369,0.341441441,16
"A Boy's Experience in the Civil War, 1860-1865",pos,44.82173175,0.448217317,0.314091681,0.237691002,17
"A Brief History of the Slave Life of Rev. L. R. Ferebee, and the Battles of Life, and Four Years of His Ministerial Life. Written from Memory. To 1882",pos,31.77570093,0.317757009,0.252336449,0.429906542,18
Canal Reminiscences: Recollections of Travel in the Old Days on the James River &amp; Kanawha Canal,pos,42,0.42,0.19,0.39,19
A Confederate Girl's Diary,pos,30.18398119,0.301839812,0.280675059,0.417485129,20
Country Life in Georgia in the Days of My Youth,pos,42.42364918,0.424236492,0.287783868,0.28797964,21
Destruction and Reconstruction: Personal Experiences of the Late War,pos,40.03900808,0.400390081,0.379771524,0.219838395,22
"A Diary from Dixie, as Written by Mary Boykin Chesnut, Wife of James Chesnut, Jr., United States Senator from South Carolina, 1859-1861, and Afterward an Aide to Jefferson Davis and a Brigadier-General in the Confederate Army",pos,32.38084608,0.323808461,0.274249358,0.401942181,23
Diary of a Refugee,pos,55.1625239,0.551625239,0.247609943,0.200764818,24
Diary of a Tar Heel Confederate Soldier,neg,29.26646707,0.185628743,0.292664671,0.521706587,25
The Diary of Bartlett Yancey Malone,pos,31.23028391,0.312302839,0.283911672,0.403785489,26
"Diary of Belle Edmondson, January - November, 1864",pos,38.05486284,0.380548628,0.28478803,0.334663342,27
"Diary of Brigadier-General Marcus J. Wright, C.S.A.: April 23, 1861 - February 26, 1863",neg,17.89473684,0.092105263,0.178947368,0.728947368,28
