Title,Reading Ease,Grade Level,Dataset
fpn-andrews-andrews.txt,72.09,9.3,First-Person Narratives of the American South
fpn-arp-arp.txt,70.36,9.9,First-Person Narratives of the American South
fpn-ashby-ashby.txt,62.72,10.8,First-Person Narratives of the American South
fpn-aughey-aughey.txt,65.35,9.8,First-Person Narratives of the American South
fpn-avary-avary.txt,74.22,8.4,First-Person Narratives of the American South
fpn-avirett-avirett.txt,64.98,12,First-Person Narratives of the American South
fpn-bagby-bagby.txt,75.54,7.9,First-Person Narratives of the American South
fpn-balch-balch.txt,78.28,6.9,First-Person Narratives of the American South
fpn-ball-ball.txt,58.79,14.4,First-Person Narratives of the American South
fpn-battle-lee.txt,79.74,8.4,First-Person Narratives of the American South
fpn-beard-beard.txt,70.06,10,First-Person Narratives of the American South
fpn-betts-betts.txt,86.1,3.9,First-Person Narratives of the American South
fpn-biggs-biggs.txt,53.34,12.3,First-Person Narratives of the American South
fpn-blackford-blackford.txt,80.41,6.1,First-Person Narratives of the American South
fpn-boggs-boggs.txt,66.07,9.5,First-Person Narratives of the American South
fpn-bokum-bokum.txt,49.83,15.8,First-Person Narratives of the American South
fpn-boyd1-boyd1.txt,54.6,13.9,First-Person Narratives of the American South
fpn-boyd2-boyd2.txt,59.06,12.2,First-Person Narratives of the American South
fpn-branch-branch.txt,65.86,9.6,First-Person Narratives of the American South
fpn-brownd-dbrown.txt,53.58,14.3,First-Person Narratives of the American South
fpn-brownw-brown.txt,72.7,9,First-Person Narratives of the American South
fpn-bruce-bruce.txt,65.9,11.6,First-Person Narratives of the American South
fpn-bryan-bryan.txt,70.16,10,First-Person Narratives of the American South
fpn-burge-lunt.txt,80.21,6.1,First-Person Narratives of the American South
fpn-burton-burton.txt,72.29,9.2,First-Person Narratives of the American South
fpn-burtont-burton.txt,72.19,9.2,First-Person Narratives of the American South
fpn-burwell-burwell.txt,57.03,13,First-Person Narratives of the American South
fpn-caldwell-caldwell.txt,49.28,13.9,First-Person Narratives of the American South
fpn-carroll-carroll.txt,72.09,9.3,First-Person Narratives of the American South
fpn-chapter-chapter.txt,71.78,9.4,First-Person Narratives of the American South
fpn-clay-clay.txt,56.59,11.1,First-Person Narratives of the American South
fpn-clinkscales-clinksc.txt,72.6,9.1,First-Person Narratives of the American South
fpn-collis-collis.txt,53.07,14.5,First-Person Narratives of the American South
fpn-compton-compton.txt,69.75,10.2,First-Person Narratives of the American South
fpn-copley-copley.txt,55.71,13.5,First-Person Narratives of the American South
fpn-crumpton-crumpton.txt,74.53,8.3,First-Person Narratives of the American South
fpn-curry-curry.txt,47.83,12.4,First-Person Narratives of the American South
fpn-davisr-davis.txt,76.05,7.7,First-Person Narratives of the American South
fpn-dawson-dawson.txt,76.35,7.6,First-Person Narratives of the American South
fpn-desaussure-desaussure.txt,71.89,9.3,First-Person Narratives of the American South
fpn-dimitry-dimitry.txt,61.9,11.1,First-Person Narratives of the American South
fpn-dupre-dupre.txt,64.24,10.2,First-Person Narratives of the American South
fpn-early-early.txt,51.45,15.1,First-Person Narratives of the American South
fpn-edmondson-edmondson.txt,78.59,6.8,First-Person Narratives of the American South
fpn-edwards-edwards.txt,74.02,8.5,First-Person Narratives of the American South
fpn-eggleston-eggleston.txt,56.22,13.3,First-Person Narratives of the American South
fpn-fearn-fearn.txt,69.75,10.2,First-Person Narratives of the American South
fpn-fee-fee.txt,62.82,10.8,First-Person Narratives of the American South
fpn-felton-felton.txt,63.32,10.6,First-Person Narratives of the American South
fpn-ferebee-ferebee.txt,76.25,7.7,First-Person Narratives of the American South
fpn-ford-ford.txt,69.15,10.4,First-Person Narratives of the American South
fpn-gilman-gilman.txt,57.13,12.9,First-Person Narratives of the American South
fpn-gordon-gordon.txt,51.01,13.2,First-Person Narratives of the American South
fpn-grandy-grandy.txt,73.41,8.8,First-Person Narratives of the American South
fpn-green-green.txt,58.55,12.4,First-Person Narratives of the American South
fpn-greenhow-greenhow.txt,48.67,14.1,First-Person Narratives of the American South
fpn-grimball-grimball.txt,64.48,12.2,First-Person Narratives of the American South
fpn-grimes-grimes.txt,65.96,9.5,First-Person Narratives of the American South
fpn-hamill-hamill.txt,53.48,14.3,First-Person Narratives of the American South
fpn-harland-harland.txt,62.82,10.8,First-Person Narratives of the American South
fpn-harrison-harrison.txt,59.16,12.2,First-Person Narratives of the American South
fpn-holden-holden.txt,65.15,9.9,First-Person Narratives of the American South
fpn-hortonlife-horton.txt,55.92,13.4,First-Person Narratives of the American South
fpn-hortonpoem-hortonpoem.txt,29.26,25.7,First-Person Narratives of the American South
fpn-houghton-houghton.txt,69.55,10.2,First-Person Narratives of the American South
fpn-howard-howard.txt,55.51,13.6,First-Person Narratives of the American South
fpn-hughes-hughes.txt,74.32,8.4,First-Person Narratives of the American South
fpn-hughest-hughes.txt,48.37,14.2,First-Person Narratives of the American South
fpn-jackson-jackson.txt,65.39,11.8,First-Person Narratives of the American South
fpn-jacobs-jacobs.txt,78.18,6.9,First-Person Narratives of the American South
fpn-janney-janney.txt,53.78,14.2,First-Person Narratives of the American South
fpn-jervey-jervey.txt,78.99,6.6,First-Person Narratives of the American South
fpn-johnstond-johnston.txt,61.6,11.2,First-Person Narratives of the American South
fpn-johnstonr-johnston.txt,63.93,10.3,First-Person Narratives of the American South
fpn-jones-jones.txt,84.41,6.6,First-Person Narratives of the American South
fpn-jonescharles-jones.txt,54.26,12,First-Person Narratives of the American South
fpn-kearney-kearney.txt,62.82,10.8,First-Person Narratives of the American South
fpn-kell-kell.txt,62.82,10.8,First-Person Narratives of the American South
fpn-lane-lane.txt,66.78,9.2,First-Person Narratives of the American South
fpn-leconte-leconte.txt,65.05,9.9,First-Person Narratives of the American South
fpn-leconteemma-leconte.txt,78.79,6.7,First-Person Narratives of the American South
fpn-leigh-leigh.txt,59.2,14.2,First-Person Narratives of the American South
fpn-leon-leon.txt,81.83,5.5,First-Person Narratives of the American South
fpn-lomax-lomax.txt,68.03,10.8,First-Person Narratives of the American South
fpn-macon-macon.txt,60.99,11.5,First-Person Narratives of the American South
fpn-mallard-mallard.txt,57.44,12.8,First-Person Narratives of the American South
fpn-malone-malone.txt,56.6,17.3,First-Person Narratives of the American South
fpn-mason-mason.txt,75.34,8,First-Person Narratives of the American South
fpn-maury-maury.txt,62.51,10.9,First-Person Narratives of the American South
fpn-mckim-mckim.txt,60.58,11.6,First-Person Narratives of the American South
fpn-mcleary-mcleary.txt,80.24,8.2,First-Person Narratives of the American South
fpn-merrick-merrick.txt,59.98,11.8,First-Person Narratives of the American South
fpn-mitchel-mitchel.txt,74.93,8.2,First-Person Narratives of the American South
fpn-montgomery-montgom.txt,64.68,12.1,First-Person Narratives of the American South
fpn-morgan-morgan.txt,75.95,7.8,First-Person Narratives of the American South
fpn-morganjames-morgan.txt,59.26,12.1,First-Person Narratives of the American South
fpn-mosby-mosby.txt,66.37,9.4,First-Person Narratives of the American South
fpn-moton-moton.txt,60.99,11.5,First-Person Narratives of the American South
fpn-negnurse-negnurse.txt,63.77,12.5,First-Person Narratives of the American South
fpn-negpeon-negpeon.txt,72.9,9,First-Person Narratives of the American South
fpn-northup-northup.txt,64.95,9.9,First-Person Narratives of the American South
fpn-oconnor-oconnor.txt,68.44,10.7,First-Person Narratives of the American South
fpn-olive-olive.txt,70.67,9.8,First-Person Narratives of the American South
fpn-patton-patton.txt,70.97,9.7,First-Person Narratives of the American South
fpn-paxton-paxton.txt,76.86,7.4,First-Person Narratives of the American South
fpn-pickens-pickens.txt,62.41,10.9,First-Person Narratives of the American South
fpn-pickett-pickett.txt,70.57,9.9,First-Person Narratives of the American South
fpn-plake-plake.txt,70.16,10,First-Person Narratives of the American South
fpn-pringle-pringle.txt,70.57,9.9,First-Person Narratives of the American South
fpn-pryor-pryor.txt,66.27,9.4,First-Person Narratives of the American South
fpn-rankin-rankin.txt,76.96,7.4,First-Person Narratives of the American South
fpn-ripley-ripley.txt,73.31,8.8,First-Person Narratives of the American South
fpn-ripleyflag-ripley.txt,56.83,13.1,First-Person Narratives of the American South
fpn-robinson-robinson.txt,70.77,9.8,First-Person Narratives of the American South
fpn-robson-robson.txt,40.49,19.3,First-Person Narratives of the American South
fpn-roper-roper.txt,70.36,9.9,First-Person Narratives of the American South
fpn-royall-royall.txt,63.63,10.4,First-Person Narratives of the American South
fpn-sawyer-sawyer.txt,61.29,11.3,First-Person Narratives of the American South
fpn-saxon-saxon.txt,73.31,8.8,First-Person Narratives of the American South
fpn-shepherd-shepherd.txt,52.23,12.8,First-Person Narratives of the American South
fpn-sherrill-sherrill.txt,73.51,8.7,First-Person Narratives of the American South
fpn-smedes-smedes.txt,74.42,8.4,First-Person Narratives of the American South
fpn-steward-steward.txt,58.66,12.4,First-Person Narratives of the American South
fpn-stiles-stiles.txt,52.77,14.6,First-Person Narratives of the American South
fpn-stone-stone.txt,67.49,9,First-Person Narratives of the American South
fpn-taylor-taylor.txt,54.15,12,First-Person Narratives of the American South
fpn-thomas-thomas.txt,69.75,10.2,First-Person Narratives of the American South
fpn-velazquez-velazquez.txt,51.35,15.2,First-Person Narratives of the American South
fpn-veney-veney.txt,71.58,9.5,First-Person Narratives of the American South
fpn-ward-ward.txt,70.63,7.8,First-Person Narratives of the American South
fpn-washeducation-washing.txt,58.45,12.4,First-Person Narratives of the American South
fpn-washington-washing.txt,61.9,11.1,First-Person Narratives of the American South
fpn-watterson1-watterson1.txt,67.08,9.1,First-Person Narratives of the American South
