Title,Reading Ease,Grade Level
fpn-andrews-andrews.txt,72.09,9.3
fpn-arp-arp.txt,70.36,9.9
fpn-ashby-ashby.txt,62.72,10.8
fpn-aughey-aughey.txt,65.35,9.8
fpn-avary-avary.txt,74.22,8.4
fpn-avirett-avirett.txt,64.98,12
fpn-bagby-bagby.txt,75.54,7.9
fpn-balch-balch.txt,78.28,6.9
fpn-ball-ball.txt,58.79,14.4
fpn-battle-lee.txt,79.74,8.4
fpn-beard-beard.txt,70.06,10
fpn-betts-betts.txt,86.1,3.9
fpn-biggs-biggs.txt,53.34,12.3
fpn-blackford-blackford.txt,80.41,6.1
fpn-boggs-boggs.txt,66.07,9.5
fpn-bokum-bokum.txt,49.83,15.8
fpn-boyd1-boyd1.txt,54.6,13.9
fpn-boyd2-boyd2.txt,59.06,12.2
fpn-branch-branch.txt,65.86,9.6
fpn-brownd-dbrown.txt,53.58,14.3
fpn-brownw-brown.txt,72.7,9
fpn-bruce-bruce.txt,65.9,11.6
fpn-bryan-bryan.txt,70.16,10
fpn-burge-lunt.txt,80.21,6.1
fpn-burton-burton.txt,72.29,9.2
fpn-burtont-burton.txt,72.19,9.2
fpn-burwell-burwell.txt,57.03,13
fpn-caldwell-caldwell.txt,49.28,13.9
fpn-carroll-carroll.txt,72.09,9.3
fpn-chapter-chapter.txt,71.78,9.4
fpn-clay-clay.txt,56.59,11.1
fpn-clinkscales-clinksc.txt,72.6,9.1
fpn-collis-collis.txt,53.07,14.5
fpn-compton-compton.txt,69.75,10.2
fpn-copley-copley.txt,55.71,13.5
fpn-crumpton-crumpton.txt,74.53,8.3
fpn-curry-curry.txt,47.83,12.4
fpn-davisr-davis.txt,76.05,7.7
fpn-dawson-dawson.txt,76.35,7.6
fpn-desaussure-desaussure.txt,71.89,9.3
fpn-dimitry-dimitry.txt,61.9,11.1
fpn-dupre-dupre.txt,64.24,10.2
fpn-early-early.txt,51.45,15.1
fpn-edmondson-edmondson.txt,78.59,6.8
fpn-edwards-edwards.txt,74.02,8.5
fpn-eggleston-eggleston.txt,56.22,13.3
fpn-fearn-fearn.txt,69.75,10.2
fpn-fee-fee.txt,62.82,10.8
fpn-felton-felton.txt,63.32,10.6
fpn-ferebee-ferebee.txt,76.25,7.7
fpn-ford-ford.txt,69.15,10.4
fpn-gilman-gilman.txt,57.13,12.9
fpn-gordon-gordon.txt,51.01,13.2
fpn-grandy-grandy.txt,73.41,8.8
fpn-green-green.txt,58.55,12.4
fpn-greenhow-greenhow.txt,48.67,14.1
fpn-grimball-grimball.txt,64.48,12.2
fpn-grimes-grimes.txt,65.96,9.5
fpn-hamill-hamill.txt,53.48,14.3
fpn-harland-harland.txt,62.82,10.8
fpn-harrison-harrison.txt,59.16,12.2
fpn-holden-holden.txt,65.15,9.9
fpn-hortonlife-horton.txt,55.92,13.4
fpn-hortonpoem-hortonpoem.txt,29.26,25.7
fpn-houghton-houghton.txt,69.55,10.2
fpn-howard-howard.txt,55.51,13.6
fpn-hughes-hughes.txt,74.32,8.4
fpn-hughest-hughes.txt,48.37,14.2
fpn-jackson-jackson.txt,65.39,11.8
fpn-jacobs-jacobs.txt,78.18,6.9
fpn-janney-janney.txt,53.78,14.2
fpn-jervey-jervey.txt,78.99,6.6
fpn-johnstond-johnston.txt,61.6,11.2
fpn-johnstonr-johnston.txt,63.93,10.3
fpn-jones-jones.txt,84.41,6.6
fpn-jonescharles-jones.txt,54.26,12
fpn-kearney-kearney.txt,62.82,10.8
fpn-kell-kell.txt,62.82,10.8
fpn-lane-lane.txt,66.78,9.2
fpn-leconte-leconte.txt,65.05,9.9
fpn-leconteemma-leconte.txt,78.79,6.7
fpn-leigh-leigh.txt,59.2,14.2
fpn-leon-leon.txt,81.83,5.5
fpn-lomax-lomax.txt,68.03,10.8
fpn-macon-macon.txt,60.99,11.5
fpn-mallard-mallard.txt,57.44,12.8
fpn-malone-malone.txt,56.6,17.3
fpn-mason-mason.txt,75.34,8
fpn-maury-maury.txt,62.51,10.9
fpn-mckim-mckim.txt,60.58,11.6
fpn-mcleary-mcleary.txt,80.24,8.2
fpn-merrick-merrick.txt,59.98,11.8
fpn-mitchel-mitchel.txt,74.93,8.2
fpn-montgomery-montgom.txt,64.68,12.1
fpn-morgan-morgan.txt,75.95,7.8
fpn-morganjames-morgan.txt,59.26,12.1
fpn-mosby-mosby.txt,66.37,9.4
fpn-moton-moton.txt,60.99,11.5
