Title,Reading Ease,Grade Level
church-hatcher-hatcher.txt,72.7,9
fpn-ball-ball.txt,58.79,14.4
fpn-brownw-brown.txt,72.7,9
fpn-bruce-bruce.txt,65.9,11.6
fpn-burton-burton.txt,72.29,9.2
fpn-burtont-burton.txt,72.09,9.3
fpn-ferebee-ferebee.txt,76.35,7.6
fpn-grandy-grandy.txt,73.41,8.8
fpn-hortonlife-horton.txt,55.92,13.4
fpn-hortonpoem-hortonpoem.txt,29.26,25.7
fpn-hughes-hughes.txt,74.32,8.4
fpn-jackson-jackson.txt,65.39,11.8
fpn-jacobs-jacobs.txt,78.18,6.9
fpn-jones-jones.txt,84.41,6.6
fpn-lane-lane.txt,66.78,9.2
fpn-mason-mason.txt,75.34,8
fpn-northup-northup.txt,64.95,9.9
fpn-robinson-robinson.txt,70.77,9.8
fpn-roper-roper.txt,70.36,9.9
fpn-steward-steward.txt,58.66,12.4
fpn-veney-veney.txt,71.58,9.5
fpn-washeducation-washing.txt,58.45,12.4
fpn-washington-washing.txt,61.9,11.1
fpn-williams-williams.txt,72.8,9
nc-jones85-jones85.txt,77.27,7.3
nc-omarsaid-omarsaid.txt,72.6,9.1
neh-aaron-aaron.txt,68.74,10.6
neh-adams-adams.txt,76.56,7.6
neh-adamsh-adamsh.txt,47.59,16.6
neh-aga-aga.txt,72.7,9
neh-albert-albert.txt,71.68,9.4
neh-aleckson-aleckson.txt,75.64,7.9
neh-alexander-alexander.txt,53.75,12.2
neh-allen-allen.txt,67.01,11.2
neh-allinson-allinson.txt,51.25,15.2
neh-anderson-anderson.txt,70.81,11.8
neh-andersonr-andersonr.txt,80.75,8
neh-andersonw-andersonw.txt,73.21,8.8
neh-andersrob-andersrob.txt,82.78,7.2
neh-armistead-armistead.txt,44.51,15.7
neh-arter-arter.txt,61.4,11.3
neh-arthur-arthur.txt,59.3,14.2
neh-auntjudy-auntjudy.txt,64.38,12.2
neh-ballslavery-ball.txt,58.59,14.5
neh-baquaqua-baquaqua.txt,64.58,12.2
neh-barber-barber.txt,65.56,9.7
neh-barrett-barrett.txt,72.6,9.1
neh-bayley-bayley.txt,35.35,23.4
neh-beard63-beard63.txt,63.73,10.4
neh-beardj-beard.txt,54.97,11.7
neh-bethune-bethune.txt,59.98,11.8
neh-bibb-bibb.txt,70.47,9.9
neh-black-black.txt,78.59,6.8
neh-blair-blair.txt,65.8,11.7
neh-bleby-bleby.txt,56.73,13.1
neh-bluett-bluett.txt,52.46,14.7
neh-boen-boen.txt,57.68,14.8
neh-boxbrown-boxbrown.txt,49.01,16.1
neh-bradford-bradford.txt,68.13,10.8
neh-bragg-bragg.txt,63.93,10.3
neh-bragg1915-bragg1915.txt,59.37,12.1
neh-branham-branham.txt,86.84,5.7
neh-brinch-brinch.txt,64.68,12.1
neh-brown47-brown47.txt,75.95,7.8
neh-brown52-brown52.txt,61.09,11.4
neh-brown55-brown55.txt,60.58,11.6
neh-brown80-brown80.txt,68.44,10.7
neh-brownbox-brownbox.txt,54.23,16.1
neh-browne-browne.txt,69.75,10.2
neh-brownhal-brownhal.txt,65.25,9.8
neh-brownj-brownj.txt,61.5,11.3
neh-brownrw-brownrw.txt,55.31,13.6
neh-brownsn-brownsn.txt,63.83,10.4
neh-brownww-brown.txt,61.4,11.3
neh-bruceje-bruceje.txt,51.45,15.1
neh-bruner-bruner.txt,84.1,6.7
neh-campbell-campbell.txt,71.89,9.3
neh-capehart-capehart.txt,77.91,9.1
neh-captain-captain.txt,48.71,16.2
neh-carolinatwin-carolinatwin.txt,54.97,11.7
neh-charlton-charlton.txt,61.53,13.3
neh-chesnutt-chesnutt.txt,48.98,14
neh-clarke-clarke.txt,75.13,8.1
neh-clarkes-clarkes.txt,75.74,7.9
neh-clement-clement.txt,79.84,8.4
neh-cox-cox.txt,55,13.8
neh-craft-craft.txt,62.95,12.8
neh-cugoano-cugoano.txt,54.83,15.9
neh-curry-curry.txt,69.96,10.1
neh-davisn-davis.txt,71.28,9.6
neh-delaney-delaney.txt,68.23,10.7
neh-detroit-detroit.txt,69.86,10.1
neh-doug1906-doug1906.txt,61.4,11.3
neh-dougl92-dougl92.txt,61.5,11.3
neh-douglass-douglass.txt,75.03,8.1
neh-douglass1853-douglass1853.txt,71.18,9.6
neh-douglass55-douglass55.txt,62.61,10.8
neh-douglasslife-douglass.txt,61.29,11.3
neh-drew-drew.txt,85.22,6.3
neh-drumgoold-drumgoold.txt,75.92,11.9
neh-dsmith-dsmith.txt,68.3,8.7
neh-early-early.txt,64.04,10.3
neh-edwardsc-edwards.txt,57.64,12.7
neh-edwardsj-edwardsj.txt,69.04,10.4
neh-eldridge-eldridge.txt,57.64,12.7
neh-eliot-eliot.txt,71.99,9.3
neh-eliza1-eliza1.txt,67.01,11.2
neh-eliza2-eliza2.txt,64.68,12.1
neh-equiano1-equiano1.txt,61.63,13.3
neh-equiano2-equiano2.txt,63.26,12.7
neh-fedric-fedric.txt,70.26,10
neh-ferrill-ferrill.txt,63.06,12.7
neh-fields-fields.txt,-51.92,59
neh-fjones-jones.txt,84.2,6.7
neh-fleming-fleming.txt,52.02,12.8
neh-flipper-flipper.txt,63.53,10.5
neh-floyd-floyd.txt,67.18,9.1
neh-fortis-fortis.txt,77,9.5
neh-foster-foster.txt,64.68,12.1
neh-franklin-franklin.txt,66.81,11.3
neh-frederick-frederick.txt,59.6,14.1
neh-gaines-gaines.txt,60.99,11.5
neh-gallaudet-gallaudet.txt,53.95,12.1
neh-garlick-garlick.txt,77.67,7.1
neh-greena-greena.txt,59.1,14.3
neh-greenew-greenew.txt,78.69,6.7
neh-greenjd-greenjd.txt,59.4,14.1
neh-greenw-greenw.txt,77.4,9.3
neh-gregory-gregory.txt,62.21,11
neh-griest-griest.txt,71.48,9.5
neh-grimes25-grimes25.txt,73.61,8.7
neh-grimes55-grimes55.txt,73.61,8.7
neh-griswold-griswold.txt,63.87,12.4
neh-gronniosaw-gronnios.txt,46.71,19
neh-gurley-gurley.txt,57.84,12.7
neh-hall-hall.txt,72.8,9
neh-hammon-hammon.txt,24.89,27.4
neh-hammond-hammond.txt,50.2,13.5
neh-harriet-harriet.txt,66.2,11.5
neh-hawkins-hawkins.txt,59.37,12.1
neh-hayden-hayden.txt,66,11.6
neh-heard-heard.txt,74.32,8.4
neh-henderson-henderson.txt,75.95,7.8
neh-henry-henry.txt,74.53,8.3
neh-henryg-henryg.txt,75.84,7.8
neh-henson-henson.txt,61.9,11.1
neh-henson49-henson49.txt,61.94,13.2
neh-henson58-henson58.txt,61.7,11.2
neh-henson81-henson81.txt,63.12,10.6
neh-heth-heth.txt,61.9,11.1
neh-hildreth-hildreth.txt,57.34,12.9
neh-holland-holland.txt,55.81,13.4
neh-holley-holley.txt,82.38,7.4
neh-holsey-holsey.txt,60.79,11.5
neh-hopper-hopper.txt,46.98,16.8
neh-iwilliams-iwilliams.txt,67.83,10.9
neh-jacksona-jacksona.txt,70.26,10
neh-jacksonc-jackson.txt,66.17,9.5
neh-jacksonm-jackson.txt,67.69,8.9
neh-jamesth-jamesth.txt,71.07,9.7
neh-jamison-jamison.txt,78.59,6.8
neh-jasper-jasper.txt,71.89,9.3
neh-jbrown-jbrown.txt,71.38,9.5
neh-jeajohn-jeajohn.txt,49.15,18.1
neh-jennings-jennings.txt,78.28,6.9
neh-jeter-jeter.txt,67.59,8.9
neh-jjacobs-jjacobs.txt,82.88,7.2
neh-jjoseph-jjoseph.txt,62.04,13.1
neh-johnson-johnson.txt,79.13,8.6
neh-johnson1-johnson.txt,75.24,8.1
neh-johnsontl-johnsontl.txt,69.01,8.4
neh-johnstone-johnstone.txt,24.86,25.3
neh-jonestom-jones.txt,73.31,8.8
neh-joyce-joyce.txt,68.54,10.6
neh-keckley-keckley.txt,77.47,7.2
neh-kelley-kelley.txt,66.47,9.4
neh-lanelunsford-lane.txt,69.15,10.4
neh-latta-latta.txt,75.34,8
neh-leehf-leehf.txt,61.8,11.1
neh-leewilliam-lee.txt,72.39,9.1
neh-lester-lester.txt,45.94,21.4
neh-levering-levering.txt,60.28,11.7
neh-lewisj-lewisj.txt,74.12,8.5
neh-lewisjw-lewisjw.txt,54.29,14
neh-lintner-lintner.txt,66.41,11.5
neh-loguen-loguen.txt,61.5,11.3
neh-long-long.txt,67.08,9.1
neh-lowery-lowery.txt,76.96,7.4
neh-mallory-mallory.txt,67.52,11
neh-manzano-manzano.txt,47.49,16.6
neh-marrs-marrs.txt,76.86,7.4
neh-mars-mars.txt,85.93,6
neh-mars64-mars64.txt,85.93,6
neh-maysamuel-maysamuel.txt,61.19,11.4
neh-mccray-mary.txt,77.47,7.2
neh-mcpherson-mcpherson.txt,50.84,15.4
neh-meachum-meachum.txt,80.85,8
neh-merritt-merritt.txt,65.25,9.8
neh-millie-christine-millie-christine.txt,62.61,10.8
neh-mitchell-mitchell.txt,48.3,16.3
neh-moore1-moore1.txt,63.22,10.6
neh-moore2-moore2.txt,70.67,9.8
neh-mott-mott.txt,63.66,12.5
neh-mott26-mott26.txt,62.14,13.1
neh-mountain-mountain.txt,67.18,9.1
neh-natlove-natlove.txt,67.72,10.9
neh-neilson-neilson.txt,52.16,14.9
neh-nell-nell.txt,49.38,13.8
neh-nicholson-nicholson.txt,53.04,12.4
neh-norris-norris.txt,41.81,18.8
neh-offley-offley.txt,67.93,10.9
neh-oneal-oneal.txt,73.51,8.7
neh-parker-parker.txt,75.37,10.1
neh-parker1-parker.txt,73.31,8.8
neh-parkerh-parkerh.txt,74.42,8.4
neh-pendleton-pendle.txt,61.7,11.2
neh-penning-penning.txt,71.07,9.7
neh-penning49-penning49.txt,68.64,10.6
neh-peterson-peterson.txt,78.38,6.8
neh-pickard-pickard.txt,71.58,9.5
neh-picquet-picquet.txt,75.34,8
neh-pierson-pierson.txt,67.42,11.1
neh-platt-platt.txt,63.36,12.6
neh-pomp-pomp.txt,63.06,12.7
neh-prince-prince.txt,70.16,10
neh-randol55-randol55.txt,74.22,8.4
neh-randolph-randolph.txt,74.02,8.5
neh-rayemma-rayemma.txt,85.32,6.3
neh-richmond-richmond.txt,57.37,14.9
neh-robert-robert.txt,16.33,28.6
neh-roberts-roberts.txt,71.18,9.6
neh-robinsonn-robinson.txt,71.58,9.5
neh-roper-roper.txt,67.93,10.9
neh-royal-royal.txt,28.41,24
neh-rudd-rudd.txt,84.41,6.6
neh-runaway-runaway.txt,85.42,6.2
neh-said-said.txt,60.38,11.7
neh-sally-sally.txt,67.93,10.9
neh-sancho1-sancho1.txt,27.39,24.4
neh-sancho2-sancho2.txt,39.78,19.6
neh-scott-scott.txt,60.18,11.8
neh-simmons-simmons.txt,64.85,10
neh-simpson-simpson.txt,62.65,12.9
neh-singleton-singleton.txt,86.54,5.8
neh-slaveryillus-slaveryillus.txt,73,8.9
neh-smallwood-smallwood.txt,58.69,14.4
neh-smitham-smith.txt,84.3,6.6
neh-smithhar-smithhar.txt,75.34,8
neh-smithj-smithj.txt,71.78,9.4
neh-smithste-smithste.txt,75.95,7.8
neh-stedman-stedman.txt,58.55,12.4
neh-stevens-stevens.txt,55.88,11.4
neh-story-story.txt,67.62,11
neh-straker-straker.txt,51.62,13
neh-stroyer-stroyer.txt,65.73,13.8
neh-stroyer85-stroyer85.txt,75.58,10
neh-suggs-suggs.txt,75.44,8
neh-taylor-taylor.txt,58.96,12.2
neh-taylorsu-taylorsu.txt,73.51,8.7
neh-thatcher-thatcher.txt,45.46,17.4
neh-thompsch-thompsch.txt,71.48,9.5
neh-thompson-thompson.txt,69.96,10.1
neh-thompson1-thompson.txt,52.77,14.6
neh-tilmon-tilmon.txt,60.69,11.6
neh-troy-troy.txt,74.02,8.5
neh-truth50-truth50.txt,51.65,15
neh-truth75-truth75.txt,56.83,13.1
neh-truth84-truth84.txt,65.69,11.7
neh-tubbee-tubbee.txt,71.48,9.5
neh-tubbee1848-tubbee1848.txt,59.91,13.9
neh-turner-turner.txt,57.34,12.9
neh-twain-twain.txt,81.8,9.7
neh-twelvetr-twelvetr.txt,54.39,14
neh-upham-upham.txt,68.54,10.6
neh-vale-vale.txt,64.04,10.3
neh-venture-venture.txt,73.41,8.8
neh-venture2-venture2.txt,74.02,8.5
neh-walters-walters.txt,64.95,9.9
neh-wards-ward.txt,62.31,11
neh-warner-warner.txt,56.83,13.1
neh-washstory-washin.txt,61.9,11.1
neh-watkin52-watkin52.txt,67.22,11.1
neh-watkins-watkins.txt,56.22,13.3
neh-watson-watson.txt,67.93,10.9
neh-webb-webb.txt,83.29,7
neh-webster-webster.txt,70.47,9.9
neh-weld-weld.txt,58.15,12.6
neh-wheatley-wheatley.txt,58.18,14.6
neh-white-white.txt,59.37,12.1
neh-whitegeo-whitegeo.txt,42.82,18.4
neh-wickham-wickham.txt,67.32,11.1
neh-wilkerson-wilkerson.txt,46.71,19
neh-williams-williams.txt,72.6,9.1
neh-williamsjames-williams.txt,70.3,12
